Date,Price,Open,High,Low,Vol.,Change %
10/3/2012,616.00,616.00,616.00,616.00,0.02K,0.00%
10/1/2012,616.00,616.00,616.00,616.00,0.01K,0.00%
9/28/2012,616.00,616.00,616.00,616.00,0.03K,0.00%
9/27/2012,616.00,616.00,616.00,616.00,0.01K,-1.28%
9/25/2012,624.00,624.00,624.00,624.00,1.66K,-0.16%
9/24/2012,625.00,625.00,625.00,625.00,0.01K,1.63%
9/20/2012,615.00,624.00,624.00,615.00,0.22K,-0.49%
9/19/2012,618.00,618.00,618.00,618.00,0.50K,0.00%
9/17/2012,618.00,618.00,618.00,618.00,0.50K,0.49%
9/14/2012,615.00,615.00,615.00,615.00,0.02K,0.00%
9/12/2012,615.00,615.00,615.00,615.00,1.00K,0.65%
9/6/2012,611.00,610.00,611.00,610.00,0.20K,0.83%
8/31/2012,606.00,610.00,610.00,606.00,0.41K,-0.16%
8/30/2012,607.00,605.00,607.00,605.00,9.50K,0.66%
8/28/2012,603.00,612.00,612.00,603.00,0.05K,-5.19%
8/23/2012,636.00,636.00,636.00,636.00,0.00K,3.92%
8/22/2012,612.00,612.00,612.00,612.00,0.34K,-2.86%
8/6/2012,630.00,630.00,630.00,630.00,0.01K,1.45%
8/3/2012,621.00,621.00,621.00,621.00,0.29K,-5.91%
7/19/2012,660.00,660.00,660.00,660.00,0.01K,-5.58%
6/29/2012,699.00,663.00,699.00,663.00,0.52K,0.00%
6/26/2012,699.00,685.00,699.00,685.00,0.51K,0.29%
6/21/2012,697.00,697.00,697.00,697.00,0.23K,-0.43%
6/20/2012,700.00,700.00,700.00,700.00,0.31K,0.00%
6/19/2012,700.00,700.00,700.00,700.00,0.04K,0.00%
6/18/2012,700.00,700.00,700.00,700.00,0.07K,0.00%
6/15/2012,700.00,700.00,700.00,700.00,0.13K,0.00%
6/14/2012,700.00,700.00,700.00,700.00,0.10K,0.14%
6/13/2012,699.00,699.00,699.00,699.00,0.10K,3.56%
6/8/2012,675.00,675.00,675.00,675.00,0.10K,0.00%
6/6/2012,675.00,675.00,675.00,675.00,0.00K,3.05%
6/5/2012,655.00,655.00,655.00,655.00,0.06K,2.34%
6/4/2012,640.00,640.00,640.00,640.00,0.08K,4.92%
6/1/2012,610.00,646.00,646.00,610.00,0.15K,0.00%
5/29/2012,610.00,610.00,610.00,610.00,0.10K,-4.09%
5/24/2012,636.00,636.00,636.00,636.00,0.01K,1.76%
5/22/2012,625.00,625.00,625.00,625.00,0.00K,3.99%
5/18/2012,601.00,601.00,601.00,601.00,0.03K,-8.66%
5/16/2012,658.00,658.00,658.00,658.00,0.04K,-5.87%
5/10/2012,699.00,699.00,699.00,699.00,0.07K,-0.29%
5/8/2012,701.00,724.00,724.00,701.00,0.01K,0.00%
4/27/2012,701.00,701.00,701.00,701.00,0.02K,-3.31%
4/25/2012,725.00,725.00,725.00,725.00,6.90K,3.42%
4/24/2012,701.00,701.00,701.00,701.00,0.01K,0.14%
4/23/2012,700.00,700.00,700.00,700.00,0.01K,-2.51%
4/19/2012,718.00,718.00,718.00,718.00,0.01K,4.82%
4/17/2012,685.00,685.00,685.00,685.00,0.02K,-2.14%
4/13/2012,700.00,700.00,700.00,700.00,0.20K,0.00%
4/10/2012,700.00,700.00,700.00,700.00,0.20K,-1.69%
4/9/2012,712.00,712.00,712.00,712.00,0.12K,0.28%
4/6/2012,710.00,710.00,710.00,710.00,0.13K,-5.33%
3/30/2012,750.00,700.00,750.00,700.00,13.75K,3.45%
3/29/2012,725.00,725.00,725.00,725.00,0.71K,5.07%
3/28/2012,690.00,690.00,690.00,690.00,2.00K,-1.29%
3/27/2012,699.00,670.00,699.00,670.00,0.20K,-0.14%
3/26/2012,700.00,700.00,700.00,700.00,0.00K,0.00%
3/23/2012,700.00,700.00,700.00,700.00,1.01K,0.00%
3/22/2012,700.00,700.00,700.00,700.00,0.00K,-5.41%
3/21/2012,740.00,700.00,740.00,700.00,0.19K,0.00%
3/20/2012,740.00,705.00,740.00,705.00,0.03K,-1.20%
3/19/2012,749.00,749.00,749.00,749.00,0.02K,4.03%
3/16/2012,720.00,720.00,720.00,720.00,0.02K,-4.00%
