"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2014","186.00","184.30","186.00","184.30","23.40K","-1.59%"
"06/23/2014","189.00","189.00","189.00","189.00","0.31K","-0.47%"
"06/20/2014","189.90","189.00","190.00","189.00","23.33K","0.21%"
"06/19/2014","189.50","188.50","189.50","188.50","24.96K","0.00%"
"06/18/2014","189.50","189.00","189.95","189.00","28.08K","0.26%"
"06/17/2014","189.00","189.00","190.00","189.00","5.92K","-0.03%"
"06/16/2014","189.05","189.05","189.05","189.05","3.99K","0.03%"
"06/13/2014","189.00","189.00","189.00","189.00","13.30K","0.00%"
"06/12/2014","189.00","189.00","189.10","188.00","26.69K","-0.50%"
"06/11/2014","189.95","189.00","190.00","189.00","25.42K","0.50%"
"06/10/2014","189.00","189.00","189.00","189.00","11.84K","0.00%"
"06/09/2014","189.00","189.00","189.05","189.00","10.09K","0.00%"
"06/06/2014","189.00","189.00","189.00","189.00","6.20K","0.03%"
"06/05/2014","188.95","189.10","189.10","188.95","21.30K","-0.05%"
"06/04/2014","189.05","189.50","189.50","189.05","4.52K","-0.21%"
"06/03/2014","189.45","189.50","189.50","189.45","6.74K","-0.03%"
"06/02/2014","189.50","189.45","189.50","189.45","11.35K","0.00%"
"05/30/2014","189.50","188.70","189.50","188.70","27.03K","0.00%"
"05/29/2014","189.50","188.70","189.50","188.70","50.61K","0.26%"
"05/28/2014","189.00","189.00","189.00","188.50","62.28K","0.27%"
"05/27/2014","188.50","188.50","188.50","188.50","22.84K","-0.11%"
"05/26/2014","188.70","188.70","188.70","188.70","11.60K","-0.68%"
"05/23/2014","190.00","189.00","190.00","189.00","3.45K","0.53%"
"05/22/2014","189.00","188.60","189.00","188.60","15.39K","0.00%"
"05/21/2014","189.00","188.50","189.50","188.50","31.28K","0.27%"
"05/20/2014","188.50","188.50","190.00","188.50","0.17K","-0.53%"
"05/19/2014","189.50","188.50","189.50","188.50","6.32K","0.26%"
"05/16/2014","189.00","189.00","189.50","189.00","53.47K","-0.26%"
"05/15/2014","189.50","189.50","189.50","189.50","35.00K","-0.52%"
"05/14/2014","190.50","190.00","190.50","190.00","2.42K","0.00%"
"05/13/2014","190.50","190.00","190.50","190.00","23.13K","0.29%"
"05/12/2014","189.95","189.95","189.95","189.95","2.07K","0.24%"
"05/09/2014","189.50","189.60","189.60","189.50","5.70K","0.00%"
"05/08/2014","189.50","189.00","189.95","189.00","20.32K","0.53%"
"05/07/2014","188.50","188.50","188.60","188.50","2.52K","0.00%"
"05/06/2014","188.50","188.50","188.50","188.50","1.53K","-0.79%"
"05/05/2014","190.00","190.00","190.00","190.00","36.07K","0.03%"
"05/02/2014","189.95","189.95","189.95","189.95","15.00K","0.77%"
"04/30/2014","188.50","188.50","188.50","188.50","77.65K","0.00%"
"04/29/2014","188.50","188.00","188.50","187.00","129.19K","-0.26%"
"04/28/2014","189.00","189.00","189.05","187.00","96.34K","0.00%"
"04/25/2014","189.00","189.00","189.00","189.00","1.66K","-1.54%"
"04/24/2014","191.95","190.00","191.95","190.00","7.43K","0.29%"
"04/23/2014","191.40","190.00","191.40","190.00","3.36K","0.18%"
"04/22/2014","191.05","191.00","191.05","190.10","39.85K","-0.44%"
"04/21/2014","191.90","189.00","191.90","189.00","1.00K","1.00%"
"04/18/2014","190.00","190.00","190.00","190.00","0.46K","-0.68%"
"04/17/2014","191.30","192.00","192.00","191.30","31.00K","-0.36%"
"04/16/2014","192.00","191.30","192.00","191.30","4.40K","0.00%"
"04/15/2014","192.00","191.30","192.00","191.30","33.22K","0.37%"
"04/14/2014","191.30","191.30","191.30","191.30","1.06K","0.00%"
"04/11/2014","191.30","191.30","192.00","191.30","1.14K","0.00%"
"04/10/2014","191.30","191.30","192.00","191.30","34.39K","-0.36%"
"04/09/2014","192.00","191.30","192.00","191.30","3.53K","0.42%"
"04/08/2014","191.20","191.50","192.00","191.20","6.02K","-0.42%"
"04/07/2014","192.00","191.15","192.00","191.15","10.04K","0.26%"
"04/04/2014","191.50","191.15","191.50","191.15","7.34K","-0.26%"
"04/03/2014","192.00","191.15","192.00","191.15","5.32K","-0.52%"
"04/02/2014","193.00","191.50","193.00","191.50","6.30K","0.00%"
"04/01/2014","193.00","191.50","193.00","191.50","3.71K","0.78%"
"03/31/2014","191.50","191.15","191.50","191.15","2.51K","0.18%"
"03/28/2014","191.15","191.20","191.20","191.15","3.23K","-0.39%"
"03/27/2014","191.90","191.50","191.95","191.15","27.49K","0.00%"
"03/26/2014","191.90","191.15","191.90","191.15","5.02K","0.08%"
"03/25/2014","191.75","191.90","191.90","191.50","19.33K","-0.03%"
"03/24/2014","191.80","191.15","191.80","191.15","3.93K","0.13%"
"03/21/2014","191.55","191.50","191.55","191.50","1.03K","-0.23%"
